年龄,是否离职,工作离家距离,学历,职位等级,月收入,性别,离职时间,入职时间
52,是,46,博士,中级,6608,男,2022-07-31,2022-01-20
31,是,75,硕士,中级,7745,女,2023-08-23,2023-04-29
48,否,97,博士,初级,19964,男,,2021-07-18
20,是,36,本科,高级,8416,男,2023-11-22,2023-10-07
46,是,82,博士,中级,7783,女,2023-11-22,2021-07-31
65,是,29,本科,初级,18347,女,2022-01-25,2021-02-25
27,是,44,本科,初级,19083,女,2021-12-12,2021-09-18
56,否,72,硕士,中级,2645,女,,2022-07-22
64,否,53,博士,中级,7474,男,,2021-09-28
48,是,95,博士,初级,7195,女,2023-07-04,2022-07-24
35,否,77,硕士,中级,17080,男,,2023-08-21
54,是,7,本科,高级,7752,男,2023-10-19,2023-09-25
64,否,59,硕士,高级,15055,男,,2021-10-15
22,是,14,博士,中级,11608,男,2023-01-26,2021-01-06
65,否,96,硕士,高级,17018,男,,2022-08-18
21,是,93,博士,中级,15300,女,2023-09-02,2022-11-29
41,否,37,本科,初级,5376,女,,2022-12-17
51,否,56,博士,中级,12778,男,,2021-02-24
31,是,52,博士,初级,7555,女,2023-12-30,2023-12-30
29,是,81,博士,中级,3565,女,2023-03-24,2022-01-24
22,否,90,博士,高级,2813,女,,2022-01-30
42,否,67,硕士,高级,2718,女,,2023-09-13
46,是,50,博士,高级,5623,男,2023-12-03,2023-10-24
48,否,37,本科,中级,9230,女,,2021-12-16
54,是,60,博士,初级,13945,男,2023-05-17,2023-01-06
42,否,82,硕士,初级,2905,女,,2022-12-29
61,是,37,硕士,高级,13083,女,2023-11-09,2021-10-12
58,否,10,硕士,中级,11504,女,,2023-09-19
35,否,60,博士,高级,14782,男,,2023-05-15
58,是,41,博士,高级,13142,男,2023-12-31,2023-12-16
56,否,35,本科,初级,6111,男,,2023-06-12
26,是,55,硕士,中级,8325,女,2023-12-30,2023-12-04
62,是,16,博士,初级,4712,女,2023-06-25,2022-09-18
31,是,60,博士,中级,18445,男,2021-11-09,2021-05-07
46,是,62,硕士,初级,5808,男,2023-01-09,2021-01-31
26,是,26,本科,高级,9151,男,2021-11-10,2021-01-07
31,是,24,本科,中级,4576,男,2023-07-18,2023-02-05
23,否,69,硕士,高级,3090,男,,2023-10-23
40,否,60,硕士,初级,9389,女,,2023-04-04
33,是,36,博士,初级,16952,男,2023-08-15,2022-11-26
31,是,77,硕士,高级,7228,男,2022-04-17,2021-02-02
32,否,43,硕士,初级,13169,男,,2023-06-14
65,是,27,博士,中级,15894,女,2022-09-08,2022-07-09
34,是,26,本科,初级,18226,女,2022-11-29,2022-08-04
27,是,44,博士,高级,12613,女,2023-09-21,2023-04-29
42,否,56,本科,初级,9036,女,,2021-06-07
33,是,42,硕士,高级,7391,女,2023-08-31,2023-07-25
57,是,60,硕士,初级,19888,女,2023-02-05,2022-10-12
60,是,91,硕士,初级,3670,男,2023-09-20,2022-12-23
40,否,45,硕士,高级,8991,女,,2023-05-08
64,是,2,博士,中级,12235,男,2023-12-28,2023-12-18
61,否,73,博士,初级,5295,男,,2022-06-05
61,否,97,博士,高级,14259,女,,2023-04-07
61,是,37,硕士,高级,14953,女,2023-03-03,2022-10-13
35,是,2,博士,高级,19123,女,2023-06-07,2022-07-20
38,否,55,本科,中级,11438,女,,2021-01-30
60,是,49,博士,高级,3746,女,2023-11-06,2023-03-16
43,否,60,硕士,中级,12209,男,,2021-04-20
52,否,91,博士,初级,11262,男,,2022-07-21
64,否,97,本科,中级,7358,女,,2021-04-04
45,否,27,本科,高级,16454,女,,2021-06-05
55,是,22,硕士,高级,2311,男,2021-09-12,2021-03-12
48,否,96,本科,中级,3155,女,,2021-04-09
33,否,88,本科,中级,3812,女,,2023-05-14
47,否,23,硕士,高级,2599,男,,2022-01-07
31,是,42,本科,中级,5392,女,2023-01-20,2021-11-05
56,否,45,本科,高级,16122,女,,2023-03-12
42,是,79,硕士,高级,3268,女,2023-09-05,2021-06-26
36,是,30,博士,高级,11683,男,2023-08-30,2022-08-30
37,否,81,本科,高级,7915,女,,2021-10-21
42,是,35,硕士,高级,4504,男,2023-12-16,2021-08-30
